Timestamp,Open,High,Low,Close,Volume,symbol,Date
1615939200.0,2.197e-05,2.479e-05,2.132e-05,2.338e-05,321561136.0,ADA/BTC,2021-03-17
1616025600.0,2.339e-05,2.52e-05,2.092e-05,2.134e-05,420396321.0,ADA/BTC,2021-03-18
1616112000.0,2.133e-05,2.298e-05,2.092e-05,2.232e-05,181405787.0,ADA/BTC,2021-03-19
1616198400.0,2.232e-05,2.238e-05,2.063e-05,2.066e-05,101426300.0,ADA/BTC,2021-03-20
1616284800.0,2.066e-05,2.151e-05,2.041e-05,2.068e-05,69943004.0,ADA/BTC,2021-03-21
1616371200.0,2.067e-05,2.095e-05,1.967e-05,2.037e-05,108087724.0,ADA/BTC,2021-03-22
1616457600.0,2.037e-05,2.126e-05,2.027e-05,2.053e-05,85446881.0,ADA/BTC,2021-03-23
1616544000.0,2.053e-05,2.068e-05,2.001e-05,2.042e-05,87657099.0,ADA/BTC,2021-03-24
1616630400.0,2.043e-05,2.232e-05,2.024e-05,2.136e-05,135523196.0,ADA/BTC,2021-03-25
1616716800.0,2.136e-05,2.439e-05,2.109e-05,2.205e-05,278138517.0,ADA/BTC,2021-03-26
1616803200.0,2.206e-05,2.235e-05,2.096e-05,2.108e-05,63416584.0,ADA/BTC,2021-03-27
1616889600.0,2.108e-05,2.171e-05,2.095e-05,2.133e-05,58328326.0,ADA/BTC,2021-03-28
1616976000.0,2.134e-05,2.186e-05,2.069e-05,2.086e-05,67944474.0,ADA/BTC,2021-03-29
1617062400.0,2.087e-05,2.099e-05,2.05e-05,2.062e-05,55639005.0,ADA/BTC,2021-03-30
1617148800.0,2.063e-05,2.064e-05,1.985e-05,2.028e-05,72589151.0,ADA/BTC,2021-03-31
1617235200.0,2.028e-05,2.04e-05,2.006e-05,2.014e-05,57125028.0,ADA/BTC,2021-04-01
1617321600.0,2.016e-05,2.091e-05,1.986e-05,2.019e-05,69734934.0,ADA/BTC,2021-04-02
1617408000.0,2.018e-05,2.09e-05,2.016e-05,2.037e-05,72662903.0,ADA/BTC,2021-04-03
1617494400.0,2.038e-05,2.062e-05,2.022e-05,2.031e-05,49100126.0,ADA/BTC,2021-04-04
1617580800.0,2.031e-05,2.084e-05,2.021e-05,2.049e-05,81132615.0,ADA/BTC,2021-04-05
1617667200.0,2.05e-05,2.295e-05,2.019e-05,2.159e-05,196918051.0,ADA/BTC,2021-04-06
1617753600.0,2.159e-05,2.225e-05,2.076e-05,2.097e-05,88145804.0,ADA/BTC,2021-04-07
1617840000.0,2.097e-05,2.13e-05,2.086e-05,2.1e-05,53471673.0,ADA/BTC,2021-04-08
1617926400.0,2.1e-05,2.109e-05,2.057e-05,2.069e-05,37412474.0,ADA/BTC,2021-04-09
1618012800.0,2.069e-05,2.069e-05,1.995e-05,2.036e-05,77231579.0,ADA/BTC,2021-04-10
1618099200.0,2.038e-05,2.158e-05,2.002e-05,2.106e-05,108874626.0,ADA/BTC,2021-04-11
1618185600.0,2.107e-05,2.241e-05,2.1e-05,2.196e-05,150195478.0,ADA/BTC,2021-04-12
1618272000.0,2.197e-05,2.274e-05,2.069e-05,2.222e-05,173537988.0,ADA/BTC,2021-04-13
1618358400.0,2.222e-05,2.42e-05,2.152e-05,2.306e-05,246277469.0,ADA/BTC,2021-04-14
1618444800.0,2.306e-05,2.383e-05,2.257e-05,2.341e-05,92222040.0,ADA/BTC,2021-04-15
1618531200.0,2.341e-05,2.394e-05,2.211e-05,2.301e-05,134949810.0,ADA/BTC,2021-04-16
